@format=row B6D2F1 BXD101 BXD102 BXD24 BXD29 BXD32 BXD39 BXD44 BXD45 BXD48a BXD53 BXD61 BXD63 BXD65b BXD66 BXD69 BXD73 BXD87 BXD90 BXD98 DBA/2J
0610007P14Rik 15.268641465 14.9326498566667 14.312531175 14.7894065 14.97945804 14.71228718 14.60371156 14.47381923 14.9200974 14.88964976 14.56019025 14.5857390333333 14.7671515983333 14.557888555 14.49178581 15.15244918 15.09225616 14.670280635 15.58293377 14.8360461 14.923895185
0610009D07Rik 13.4754109625 13.6728804933333 13.09910815 13.485107445 13.1056306475 13.08832107 13.0084159 13.08811453 13.320728455 13.1198755716667 13.371629215 13.0372842066667 13.1476639125 12.9927867675 13.11894234 13.25148765 13.29092792 13.401213215 13.35563293 13.277245385 13.1674585675
0610011F06Rik 14.307209205 13.7813632211111 14.9371444683333 14.46254958 14.1401362566667 13.7650637333333 14.024512 14.7563605933333 14.1522022133333 14.1260634266667 14.0737656983333 13.9260256488889 14.1702037794444 14.0409784183333 14.11407564 13.3005234533333 13.70607262 14.29138996 14.3446294566667 14.21700787 13.947571185
0610031J06Rik 13.5325769 13.9791473566667 13.29129237 13.14692723 13.51055556 13.136556745 13.33387681 13.07204815 13.45035888 13.3565515766667 13.511857735 13.3539186766667 13.2483508183333 13.306942175 13.57723451 13.37568103 13.41670985 13.466362625 13.50836693 13.54533153 13.27158762
0610037L13Rik 13.4369782083333 13.5685480788889 13.4989509566667 13.5459834933333 13.2783447716667 13.448796085 13.4843839533333 13.47471799 13.5862101733333 13.4944485455556 13.3762598283333 13.4406679422222 13.5349097538889 13.2741727633333 13.37028422 13.46755817 13.3191307866667 13.592020105 13.5780285866667 13.55570039 13.66820378
10-Sep 13.2964666775 13.603488045 13.295293765 13.261406365 13.370625525 13.5429717975 13.95774171 12.518364715 13.20131177 13.4775564866667 13.6110221825 13.5397083633333 13.8936282558333 13.6669575725 13.68657416 13.380822925 12.655994555 13.5949495025 13.112434725 13.53087825 13.5489812725
11-Sep 13.258317885 13.1995079 12.6342717725 13.022728845 12.9338451825 12.63932965 12.5880207 13.067446485 12.73049466 12.9490986533333 13.1668945475 12.6605616616667 12.9181576958333 12.6924397375 12.354535785 13.022065875 13.148054905 12.97651179 13.24873548 13.19337282 12.89578313
1190003J15Rik 13.3384805963333 11.9949338954444 12.9902548006667 11.9763287006667 13.4506737365 12.690221901 12.733884422 13.536931296 13.282538006 13.2398070117778 12.8046979048333 12.7619658061111 12.6723501153889 12.6730109598333 12.40752202 13.455466859 13.4271344306667 12.947078139 12.5282083293333 12.169903518 13.0778418703333
1300001I01Rik 13.578568915 13.3021397122222 13.2874705133333 12.9317338133333 13.3264890333333 13.1484512683333 13.34996566 13.2821855866667 13.5098891433333 13.2366756133333 13.3781250166667 13.2580076055556 13.2914137666667 13.1959665116667 13.3009731533333 13.4175529533333 13.6091183633333 13.469172005 13.61936877 13.18245476 13.3227836866667
1300017J02Rik 11.8852239313333 11.8792055572222 12.0593208395 11.5752739226667 11.9899650055 11.6874242455 11.6930626496667 11.8635901923333 12.0281557046667 11.9557143604444 11.8195944006667 11.821001368 11.6387457703889 11.6668460753333 11.533046119 11.829200918 12.0587376516667 11.9984679598333 11.817023846 11.6135472156667 12.0423647753333
1300018J18Rik 14.4386397466667 13.9903253011111 14.0963747566667 14.0291434433333 14.1999850266667 14.1114837933333 14.2474955533333 14.5191837166667 14.4386402866667 14.3636591477778 14.2190772133333 14.0854539777778 14.2601927127778 14.014702905 13.9800543566667 14.46545499 14.39878315 14.4309234466667 14.40839751 14.35924531 14.3035829433333
15-Sep 12.84852982 13.05965501 12.967287675 12.64952776 12.830437425 12.8583755 12.87444519 12.90459253 12.99774914 12.9509493 12.834750615 12.92625792 12.78785509 12.868871375 12.94109613 12.85688821 12.82683186 13.003425125 12.9590171 13.16001832 12.97348845
1600014C10Rik 14.9214074033333 14.7833269888889 14.860717485 14.8947357866667 14.8638568716667 14.78736134 14.9228263266667 14.5712842966667 14.64938089 14.5137110911111 14.4332716383333 14.5870996388889 14.7847757461111 14.8267791166667 14.73221604 14.7109921833333 14.5482768333333 14.3481188916667 14.8970032366667 14.7756270233333 14.594835115
1810006K21Rik 13.62573622 13.55776635 13.25862829 13.42387558 13.603551695 13.633165135 13.70712916 13.86471588 13.83524824 13.9081668633333 13.753133825 13.92192581 13.6254259683333 13.56196213 13.32605401 13.79981199 13.92215006 13.84991109 13.60000685 13.81817924 13.841394315
1810014F10Rik 11.367213325 8.807591717 9.6803698535 9.391102609 9.4685667355 9.301589414 8.115939641 10.52311167 10.05989339 9.968668319 9.6249543815 8.77526830933333 9.18882314566667 8.160128093 7.482423705 11.64376277 11.84935301 9.292216019 7.44027965 8.095857032 8.3384794435
